time,Open,High,Low,Close,Volume,returns,volatility,price,quote_qty,is_buyer_maker,quote_qty_cal,Short_MA_6,Long_MA_13,MACD_613,Signal_Line_4,MACD_Oscillator613,Short_MA_12,Long_MA_26,MACD_1226,Signal_Line_9,MACD_Oscillator1226,atr,highest_high,lowest_low,%K,%D,upper_band,lower_band
2023-03-24 1:00,28187.7,28314,28120,28243.8,12207.804,0.001986675,0.009125473,28230.42599,12391.55637,59584,344631507.3,28217.40243,28123.20682,94.1956041,113.2633869,-19.06778283,28138.17957,27990.03756,148.1420093,119.5711259,28.57088334,396.4285714,28777,27267,64.68874172,64.34216336,28666.7101,27206.84338
2023-03-24 2:00,28243.7,28307.7,28123,28175.1,9834.129,-0.002432392,0.009161175,28232.05609,10976.83185,60446,277637681.5,28205.31602,28130.62014,74.69588519,97.83638624,-23.14050105,28143.85963,28003.74589,140.1137468,123.6796501,16.4340967,395.4071429,28777,27267,60.13907285,61.93598234,28692.38875,27242.97089
2023-03-24 3:00,28175.1,28231.5,28146.5,28211.3,7795.326,0.001284822,0.009153444,28196.76307,13995.68319,35822,219802960.2,28207.02573,28142.14583,64.8798987,84.65379122,-19.77389252,28154.23507,28019.12027,135.114809,125.9666819,9.148127124,385.5285714,28777,27283.4,62.12506695,62.31762717,28707.52185,27287.44794
2023-03-24 4:00,28211.3,28248.6,28078.4,28119.8,10259.271,-0.003243381,0.009203541,28175.77088,9971.977711,51259,289062869.1,28182.10409,28138.95357,43.15052335,68.05248407,-24.90196072,28148.93737,28026.57802,122.3593471,125.2452149,-2.885867826,335.1857143,28777,27757.1,35.56231003,52.60881661,28716.47633,27333.90497
2023-03-24 5:00,28119.9,28295.8,28116.2,28272.4,11163.187,0.005426781,0.009251326,28228.30085,10372.74365,45505,315117801.1,28207.90292,28158.01734,49.88557831,60.78572177,-10.90014346,28167.93162,28044.78706,123.1445624,124.8250844,-1.680521982,290.2285714,28645.2,27757.1,58.02274519,51.90337406,28722.68647,27391.06215
2023-03-24 6:00,28272.3,28334,28220,28249.9,9535.578,-0.000795829,0.009254572,28271.29898,11480.15994,47447,269583176.5,28219.90209,28171.14344,48.75864957,55.97489289,-7.216243316,28180.54214,28059.98061,120.561531,123.9723737,-3.410842723,277.5142857,28503,27757.1,66.06783751,53.21763091,28728.03732,27451.23611
2023-03-24 7:00,28250,28310,28142.4,28269.9,14115.245,0.000707967,0.009242677,28239.38058,16416.60519,58480,398605775.5,28234.18721,28185.25152,48.9356871,53.15921057,-4.223523473,28194.2895,28075.53019,118.7593095,122.9297609,-4.17045142,261.8428571,28444.5,27757.1,74.59994181,66.23017484,28706.92665,27544.57935
2023-03-24 8:00,28270,28289.1,27920.6,28022.5,38118.437,-0.008751357,0.009444097,28080.53257,21532.15099,140463,1070386012,28173.70515,28162.0013,11.7038453,36.57706446,-24.87321917,28167.86035,28071.60203,96.25831754,117.5954722,-21.33715467,244.8142857,28444.5,27757.1,38.60925225,59.75901053,28667.89669,27636.45513
2023-03-24 9:00,28022.4,28180.8,27979.1,28028.7,24266.162,0.000221251,0.009374343,28076.1163,14461.46734,101679,681299586.4,28132.2751,28142.95826,-10.68315357,17.67297725,-28.35613082,28146.45107,28068.4241,78.02696128,109.68177,-31.65480875,210.1214286,28439,27920.6,20.85262346,44.68727251,28552.56032,27822.35606
2023-03-24 10:00,28028.6,28077.8,27925.1,28028.1,22426.177,-2.14E-05,0.007495072,27995.601,23607.36672,93747,627834303.3,28102.51079,28126.54994,-24.03914661,0.988127703,-25.02727432,28128.24321,28065.43713,62.80607576,100.3066312,-37.50055542,200.85,28439,27920.6,20.73688272,26.73291948,28453.80617,27963.18531
